,Kodu,TEFAS İşlem Başlangıç Saati,Fon Alış Valörü,TEFAS Min. Alış İşlem Miktarı ,TEFAS Max. Alış İşlem Miktarı ,TEFAS İşlem Durumu,Çıkış Komisyonu,ISIN Kodu,TEFAS Son İşlem Saati,Fon Satış Valörü,TEFAS Min. Satış İşlem Miktarı ,TEFAS Max. Satış İşlem Miktarı ,Giriş Komisyonu
106,GOH,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYGAPO00524,17:45,2.0,1,99999999999.0, 
107,GPA,09:00,1.0,1,9999999999999.0,İşlem Görüyor, ,TRYGAPO00052,17:45,2.0,1,99999999999999.0, 
108,GPB,09:00,1.0,1,9999999999999.0,İşlem Görüyor, ,TRYGAPO00029,17:45,2.0,1,9999999999999.0, 
109,GPC,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYGAPO00136,17:45,2.0,1,99999999999.0, 
110,GPF,09:00,1.0,1,9999999999999.0,İşlem Görüyor, ,TRYGAPO00011,17:45,1.0,1,9999999999999.0, 
111,GPG,09:00,1.0,100,0.0,İşlem Görüyor, ,TRYGEPO00039,13:00,2.0,100,0.0, 
112,GPI,09:00,1.0,1,9999999999999.0,İşlem Görüyor, ,TRYGAPO00037,17:45,2.0,1,9999999999999.0, 
113,GPU,09:00,1.0,1,9999999999999.0,İşlem Görüyor, ,TRYGAPO00045,17:45,2.0,1,9999999999999.0, 
114,GSP,09:00,1.0,1,10000000000.0,İşlem Görüyor, ,TRMGLAWWWWW2,17:00,2.0,1,0.0, 
115,GTA,09:00,1.0,1,99999999999999.0,İşlem Görüyor, ,TRYGRAN00027,17:45,1.0,1,99999999999999.0, 
116,GTF,09:00,1.0,1,200000000.0,İşlem Görüyor, ,TRMBD1WWWWW5,17:00,1.0,1,0.0, 
117,GTY,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYGAPO00425,17:45,3.0,1,99999999999.0, 
118,GTZ,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYGAPO00391,17:45,3.0,1,99999999999.0, 
119,GUH,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYGRAN00571,17:45,3.0,1,99999999999999.0, 
120,GUM,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKPO00898,17:45,3.0,1,90000000000.0, 
121,GYK,09:00,1.0,100,50000000.0,İşlem Görüyor, ,TRYGDKM00028,13:00,1.0,100,0.0, 
122,GYL,09:00,0.0,100,50000000.0,"Fon Alımına Kapalı, Fon Bozumuna Açık", ,TRMGD2WWWWW8,13:00,0.0,100,0.0, 
123,GZH,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYGAPO00417,17:45,3.0,1,99999999999.0, 
124,GZJ,09:00,1.0,1,999999999999.0,İşlem Görüyor, ,TRYGAPO00466,17:45,2.0,1,99999999999999.0, 
125,GZM,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYGMDP00076,13:30,2.0,1,0.0, 
126,GZN,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYGMDP00050,13:30,2.0,1,0.0, 
127,GZP,09:00,1.0,1,99999999999999.0,İşlem Görüyor, ,TRYGAPO00474,17:45,2.0,1,99999999999999.0, 
128,GZR,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYGAPO00409,17:45,2.0,1,99999999999.0, 
129,GZV,09:00,1.0,1,999999999999.0,İşlem Görüyor, ,TRYGAPO00441,17:45,3.0,1,9999999999999.0, 
130,HBF,09:00,1.0,1,149999999.0,İşlem Görüyor, ,TRMDAFWWWWW1,17:30,1.0,1,149999999.0, 
131,HBU,09:00,1.0,100,1999999999.0,İşlem Görüyor, ,TRMDUFWWWWW9,17:30,2.0,100,1999999999.0, 
132,HMG,09:00,1.0,1,99999999999.0,İşlem Görüyor, ,TRYHSPO00037,17:30,2.0,1,99999999999.0, 
133,HOA,09:00,1.0,1,4999999999.0,İşlem Görüyor, ,TRYHSBC00461,17:30,2.0,1,4999999999.0, 
134,HOY,09:00,1.0,1,4999999999.0,İşlem Görüyor, ,TRYHSBC00479,17:30,3.0,1,4999999999.0, 
135,HPD,09:00,1.0,1,9999999999.0,İşlem Görüyor, ,TRYHSBC00180,17:30,2.0,1,9999999999.0, 
136,HPO,09:00,1.0,1,9999999999.0,İşlem Görüyor, ,TRYHSBC00198,17:30,1.0,1,9999999999.0, 
137,HPT,09:00,0.0,1,9999999999.0,İşlem Görüyor, ,TRYHSBC00362,13:30,0.0,1,9999999999.0, 
138,HSA,09:00,1.0,1,999999.0,İşlem Görüyor, ,TRMDM1WWWWW2,17:30,2.0,1,999999.0, 
139,HSL,09:00,0.0,1,9999999999.0,İşlem Görüyor, ,TRMDM2WWWWW0,13:30,0.0,1,9999999999.0, 
140,HST,09:00,1.0,1,1999999999.0,İşlem Görüyor, ,TRMDBTWWWWW0,17:30,1.0,1,1999999999.0, 
141,HTT,09:00,1.0,100,1999999999.0,İşlem Görüyor, ,TRMDBLWWWWW7,17:30,1.0,100,1999999999.0, 
142,HVS,09:00,1.0,1,999999999.0,İşlem Görüyor, ,TRYHSBC00016,17:30,2.0,1,999999999.0, 
143,HYV,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYHDFP00078,13:30,0.0,1,0.0, 
144,IAT,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISMD00027,17:45,1.0,1,0.0, 
145,IBB,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00183,17:45,2.0,1,0.0, 
146,ICA,09:00,1.0,1000,10000000000.0,İşlem Görüyor, ,TRYTKSB00014,17:00,1.0,1000,10000000000.0, 
147,ICC,09:00,1.0,10,715700000.0,İşlem Görüyor, ,TRMTMDWWWWW7,17:00,2.0,10,715700000.0, 
148,ICD,09:00,1.0,10,5732000.0,İşlem Görüyor, ,TRMTL2WWWWW3,17:00,1.0,10,5732000.0, 
149,ICE,09:00,0.0,10,0.0,İşlem Görüyor, ,TRMTL1WWWWW5,13:00,0.0,10,0.0, 
150,ICF,09:00,1.0,10,10000000.0,İşlem Görüyor, ,TRMTL3WWWWW1,17:00,2.0,10,10000000.0, 
151,ICV,09:00,1.0,10,10000000.0,İşlem Görüyor, ,TRYICBC00026,17:00,2.0,10,10000000.0, 
152,ICZ,09:00,1.0,1,90000000000.0,İşlem Görüyor, ,TRYAKPO00880,17:45,2.0,1,90000000000.0, 
153,IDF,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00241,17:45,3.0,1,0.0, 
154,IDH,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00613,17:45,2.0,1,0.0, 
155,IDL,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYMKFT00190,13:30,0.0,1,0.0, 
156,IDY,09:00,1.0,1,9999999999.0,İşlem Görüyor, ,TRYOYKB00013,17:45,2.0,1,9999999999.0, 
157,IHK,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00654,17:45,2.0,1,0.0, 
158,IIH,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISTP00109,17:30,2.0,1,0.0, 
159,IJB,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00688,17:45,3.0,1,0.0, 
160,IJC,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00704,17:45,3.0,1,0.0, 
161,IJH,09:00,1.0,10,10000000.0,İşlem Görüyor, ,TRYICBC00034,17:00,2.0,10,10000000.0, 
162,IJP,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00670,17:45,3.0,1,0.0, 
163,IJT,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00712,17:45,3.0,1,0.0, 
164,IJV,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYISTP00232,13:30,0.0,1,0.0, 
165,IJZ,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00696,17:45,3.0,1,0.0, 
166,IKL,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00639,17:45,3.0,1,0.0, 
