,Kodu,TEFAS İşlem Başlangıç Saati,Fon Alış Valörü,TEFAS Min. Alış İşlem Miktarı ,TEFAS Max. Alış İşlem Miktarı ,TEFAS İşlem Durumu,Çıkış Komisyonu,ISIN Kodu,TEFAS Son İşlem Saati,Fon Satış Valörü,TEFAS Min. Satış İşlem Miktarı ,TEFAS Max. Satış İşlem Miktarı ,Giriş Komisyonu,price
166,IKL,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00639,17:45,3.0,1,0.0, ,0.0019
167,IKP,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00662,17:45,3.0,1,0.0, ,0.0045
168,ILZ,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00647,17:45,3.0,1,0.0, ,0.0029
169,IMF,09:00,0.0,1000000,0.0,İşlem Görüyor, ,TRYISTP00117,13:30,0.0,5000,0.0, ,0.0018
170,IOG,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00597,17:45,3.0,1,0.0, ,0.0066
171,IPB,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISMD00159,17:30,1.0,1,0.0, ,0.0029
172,IPJ,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00191,17:45,3.0,1,0.0, ,0.0051
173,IPV,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00100,17:45,3.0,1,0.0, ,0.0046
174,IST,09:00,0.0,1,0.0,İşlem Görüyor, ,TRYISMD00076,13:30,0.0,1,0.0, ,0.008
175,ITP,09:00,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00621,17:45,3.0,1,0.0, ,0.0089
176,IYB,09:30,1.0,50,0.0,İşlem Görüyor, ,TRMIYBWWWWW9,13:30,1.0,50,0.0, ,0.0023
177,IZF,09:00,1.0,1,500000.0,İşlem Görüyor, ,TRYQPYS00086,12:30,3.0,1,500000.0, ,0.0059
178,IZS,09:00,0.0,25000,0.0,İşlem Görüyor, ,TRYISTP00125,13:30,0.0,5000,0.0, ,0.0036
179,KIS,09:00,1.0,1000,100000000.0,İşlem Görüyor, ,TRYERPO00010,12:30,3.0,1,100000000.0, ,0.0026
180,KKH,09:30,1.0,1,0.0,İşlem Görüyor, ,TRYISPO00571,17:45,1.0,1,0.0, ,0.0073
181,KLU,09:00,0.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00202,12:30,0.0,1,10000000000.0, ,0.0008
182,KPC,09:00,1.0,1,10000000000.0,İşlem Görüyor, ,TRYKTPY00186,17:45,2.0,1,10000000000.0, ,0.0059
